prediction_index,reference_locus,gene,annotation,method,rank,p_value,fdr,combined_p_value,energy,strand,gene_start,gene_end,translation_start,mrna_start,mrna_stop,binding_left,binding_right,srna_start,srna_stop,srna_binding_left,srna_binding_right,genomic_binding_coord_1,genomic_binding_coord_2,genomic_binding_left,genomic_binding_right,TSS_support,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,operon_id,operon_size,operon_position,operon_role,transcript_context_class,binding_position_basic,binding_context,binding_upstream_of_selected_TSS,binding_review_flag,source_file
68,MIDG2331_RS05935,trpD,anthranilate phosphoribosyltransferase,IntaRNA,15,0.0080607,0.9562049,,-12.55,+,1317445,1318449,1317445,-1,40,-1,40,63,92,63,92,1317444,1317485,1317444,1317485,No_proximal_TSS,,,,,648,4,3,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
69,MIDG2331_RS05935,trpD,anthranilate phosphoribosyltransferase,TargetRNA2,44,0.049,,,-8.35,+,1317445,1318449,1317445,-69,-54,-69,-54,71,86,71,86,1317376,1317391,1317376,1317391,No_proximal_TSS,,,,,648,4,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
70,MIDG2331_RS06010,argH,argininosuccinate lyase,IntaRNA,66,0.0367252,0.967073,,-10.15,-,1331015,1332391,1332391,-52,-41,-52,-41,141,152,141,152,1332443,1332432,1332432,1332443,WT_broth_only,1332549,-158,158,158,656,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
71,MIDG2331_RS06145,hxpB,hexitol phosphatase HxpB,CopraRNA,19,0.1391399,0.49326443,0.043609378,-10.2404,-,1359047,1359697,1359697,24,31,24,31,173,180,173,180,1359673,1359666,1359666,1359673,Both_concordant,1359727,-30,30,30,677,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
72,MIDG2331_RS06145,hxpB,hexitol phosphatase HxpB,IntaRNA,69,0.0387471,0.967073,,-10.06,-,1359047,1359697,1359697,25,32,25,32,173,180,173,180,1359672,1359665,1359665,1359672,Both_concordant,1359727,-30,30,30,677,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
73,MIDG2331_RS06220,serB,phosphoserine phosphatase SerB,IntaRNA,26,0.0125191,0.967073,,-11.88,+,1373141,1374001,1373141,-1,71,-1,71,28,92,28,92,1373140,1373212,1373140,1373212,No_proximal_TSS,,,,,687,3,1,first,Operon_first_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
74,MIDG2331_RS06220,serB,phosphoserine phosphatase SerB,TargetRNA2,25,0.024,,,-9.95,+,1373141,1374001,1373141,-2,15,-2,15,78,93,78,93,1373139,1373156,1373139,1373156,No_proximal_TSS,,,,,687,3,1,first,Operon_first_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
75,MIDG2331_RS06360,pstB,phosphate ABC transporter ATP-binding protein PstB,IntaRNA,14,0.0080607,0.9562049,,-12.55,-,1408817,1409596,1409596,-12,9,-12,9,126,146,126,146,1409608,1409587,1409587,1409608,No_proximal_TSS,,,,,701,7,4,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
76,MIDG2331_RS06420,sprT,SprT family zinc-dependent metalloprotease,CopraRNA,25,0.0334914,0.628428637,0.080386225,-13.2092,+,1420648,1421169,1420648,45,80,45,80,58,91,58,91,1420693,1420728,1420693,1420728,No_proximal_TSS,,,,,706,2,2,last,Last_gene_without_local_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
77,MIDG2331_RS06780,ptsB,sucrose-specific PTS transporter subunit IIBC,CopraRNA,21,0.069545,0.53193564,0.050775675,-11.687,-,1482696,1484117,1484117,46,60,46,60,75,89,75,89,1484071,1484057,1484057,1484071,No_proximal_TSS,,,,,745,1,1,single,Single_gene_without_representative_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
78,MIDG2331_RS06845,apxIIIA,RTX family hemolysin,IntaRNA,51,0.0292108,0.967073,,-10.53,-,1500642,1503800,1503800,-62,-51,-62,-51,139,151,139,151,1503862,1503851,1503851,1503862,WT_plate_only,1504083,-283,283,,751,4,2,internal,Internal_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
79,MIDG2331_RS07270,pepN,aminopeptidase N,CopraRNA,29,0.8523652,0.628428637,0.084757513,-5.49328,+,1574641,1577250,1574641,-2,30,-2,30,63,93,63,93,1574639,1574671,1574639,1574671,Both_concordant,1574592,-49,49,49,794,1,1,single,Single_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
80,MIDG2331_RS07320,tehB,SAM-dependent methyltransferase TehB,TargetRNA2,43,0.049,,,-8.35,+,1584567,1585439,1584567,-8,10,-8,10,81,98,81,98,1584559,1584577,1584559,1584577,Both_concordant,1584535,-32,32,32,801,1,1,single,Single_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
81,MIDG2331_RS07335,artI,transporter substrate-binding domain-containing protein,CopraRNA,3,0.0085527,0.007393658,1.00823e-4,-16.1173,-,1586927,1587646,1587646,-16,19,-16,19,54,92,54,92,1587662,1587627,1587627,1587662,WT_plate_only,1588002,-356,356,,802,4,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
82,MIDG2331_RS07400,mltF,membrane-bound lytic murein transglycosylase MltF,TargetRNA2,18,0.013,,,-11.05,-,1597925,1599376,1599376,-23,-7,-23,-7,140,156,140,156,1599399,1599383,1599383,1599399,Both_concordant,1599402,-26,26,26,809,2,1,first,Operon_first_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
83,MIDG2331_RS07790,glpC_2,D-2-hydroxyglutarate dehydrogenase YdiJ,IntaRNA,74,0.0416015,0.967073,,-9.94,+,1681035,1684124,1681035,-3,24,-3,24,63,94,63,94,1681032,1681059,1681032,1681059,No_proximal_TSS,,,,,849,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
84,MIDG2331_RS08050,serA,phosphoglycerate dehydrogenase,TargetRNA2,42,0.048,,,-8.4,+,1739359,1740588,1739359,-24,-10,-24,-10,77,90,77,90,1739335,1739349,1739335,1739349,Both_concordant,1739335,-24,24,,876,4,4,last,Last_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,TargetRNA2_GcvB_APP5.csv
85,MIDG2331_RS08140,thrC,threonine synthase,IntaRNA,73,0.0416015,0.967073,,-9.94,+,1757860,1759140,1757860,9,22,9,22,72,85,72,85,1757869,1757882,1757869,1757882,Both_concordant,1757821,-39,39,39,893,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
86,MIDG2331_RS08140,thrC,threonine synthase,TargetRNA2,8,0.004,,,-13.08,+,1757860,1759140,1757860,5,50,5,50,74,89,74,89,1757865,1757910,1757865,1757910,Both_concordant,1757821,-39,39,39,893,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,TargetRNA2_GcvB_APP5.csv
87,MIDG2331_RS08210,cysE,serine O-acetyltransferase,CopraRNA,8,0.0452073,0.334055102,0.012147458,-12.5827,+,1771248,1772063,1771248,-14,14,-14,14,135,164,135,164,1771234,1771262,1771234,1771262,No_proximal_TSS,,,,,899,4,4,last,Last_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
88,MIDG2331_RS08255,ccmI,c-type cytochrome biogenesis protein CcmI,IntaRNA,82,0.0495973,0.967073,,-9.64,+,1776295,1777209,1776295,57,64,57,64,9,16,9,16,1776352,1776359,1776352,1776359,No_proximal_TSS,,,,,903,3,3,last,Last_gene_without_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
89,MIDG2331_RS08325,epmA,elongation factor P--(R)-beta-lysine ligase,IntaRNA,62,0.0343855,0.967073,,-10.26,+,1788704,1789687,1788704,63,73,63,73,78,88,78,88,1788767,1788777,1788767,1788777,WT_broth_only,1788679,-25,25,25,911,1,1,single,Single_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
90,MIDG2331_RS08490,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,CopraRNA,22,0.2692866,0.5835814,0.05835814,-8.8175,-,1817332,1818603,1818603,-125,-78,-125,-78,54,91,54,91,1818728,1818681,1818681,1818728,No_proximal_TSS,,,,,924,7,4,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
91,MIDG2331_RS08585,exbD1,ExbD/TolR family protein,TargetRNA2,11,0.01,,,-11.58,-,1841551,1841961,1841961,-59,-43,-59,-43,82,98,82,98,1842020,1842004,1842004,1842020,No_proximal_TSS,,,,,933,5,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
92,MIDG2331_RS08685,modF,molybdate ABC transporter ATP-binding protein ModF,IntaRNA,6,0.0018003,0.5076009,,-14.69,-,1862475,1863932,1863932,-7,18,-7,18,76,97,76,97,1863939,1863914,1863914,1863939,No_proximal_TSS,,,,,942,1,1,single,Single_gene_without_representative_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
93,MIDG2331_RS08720,lipA,lipoyl synthase,CopraRNA,23,0.0681695,0.627671229,0.066249552,-11.7285,-,1869591,1870583,1870583,8,66,8,66,133,179,133,179,1870575,1870517,1870517,1870575,Both_concordant,1870711,-128,128,,948,5,5,last,Last_gene_with_local_TSS_candidate,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
94,MIDG2331_RS08750,mrdA,penicillin-binding protein 2,CopraRNA,24,0.1579901,0.627671229,0.068473225,-9.97216,-,1874945,1876906,1876906,-112,-80,-112,-80,53,84,53,84,1877018,1876986,1876986,1877018,No_proximal_TSS,,,,,949,4,3,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,CopraRNA_GcvB_APP8_EC_SM_PM.csv
95,MIDG2331_RS08845,ureA,urease subunit gamma,TargetRNA2,21,0.017,,,-10.64,-,1892463,1892765,1892765,-28,-15,-28,-15,77,89,77,89,1892793,1892780,1892780,1892793,No_proximal_TSS,,,,,959,8,6,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
96,MIDG2331_RS08855,cbiO,energy-coupling factor ABC transporter ATP-binding protein,IntaRNA,46,0.024159,0.967073,,-10.84,-,1893776,1894405,1894405,-19,42,-19,42,39,90,39,90,1894424,1894363,1894363,1894424,Both_concordant,1894602,-197,197,,959,8,4,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
97,MIDG2331_RS08910,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),IntaRNA,33,0.0162838,0.967073,,-11.47,-,1904568,1906400,1906400,51,61,51,61,171,181,171,181,1906349,1906339,1906339,1906349,WT_plate_only,1906666,-266,266,,964,2,2,last,Last_gene_with_local_TSS_candidate,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
98,MIDG2331_RS09100,gntR,gluconate operon transcriptional repressor GntR,IntaRNA,22,0.0105006,0.9562049,,-12.15,-,1940416,1941414,1941414,-57,-26,-57,-26,54,87,54,87,1941471,1941440,1941440,1941471,WT_broth_only,1941455,-41,41,41,980,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,overlaps_selected_TSS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
99,MIDG2331_RS09100,gntR,gluconate operon transcriptional repressor GntR,TargetRNA2,36,0.037,,,-9.02,-,1940416,1941414,1941414,-3,15,-3,15,79,96,79,96,1941417,1941399,1941399,1941417,WT_broth_only,1941455,-41,41,41,980,1,1,single,Single_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
100,MIDG2331_RS09150,dmsD,Tat proofreading chaperone DmsD,TargetRNA2,31,0.032,,,-9.33,+,1951622,1952227,1951622,-5,12,-5,12,79,96,79,96,1951617,1951634,1951617,1951634,No_proximal_TSS,,,,,982,5,4,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
101,MIDG2331_RS09295,fkpA2,FKBP-type peptidyl-prolyl cis-trans isomerase,TargetRNA2,28,0.03,,,-9.5,-,1983725,1984354,1984354,-26,-13,-26,-13,72,85,72,85,1984380,1984367,1984367,1984380,Both_concordant,1984384,-30,30,30,994,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
102,MIDG2331_RS09355,secE,preprotein translocase subunit SecE,TargetRNA2,37,0.039,,,-8.87,+,1994932,1995345,1994932,-79,-64,-79,-64,130,144,130,144,1994853,1994868,1994853,1994868,Both_discordant,,,,,1004,6,1,first,Operon_first_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
103,MIDG2331_RS09475,sfsA,DNA/RNA nuclease SfsA,TargetRNA2,24,0.024,,,-9.97,-,2020593,2021306,2021306,-7,7,-7,7,85,98,85,98,2021313,2021299,2021299,2021313,Both_concordant,2021573,-267,267,267,1019,1,1,single,Single_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
104,MIDG2331_RS09635,nanA,N-acetylneuraminate lyase,IntaRNA,53,0.0301114,0.967073,,-10.48,+,2048495,2049373,2048495,-42,-35,-42,-35,173,180,173,180,2048453,2048460,2048453,2048460,No_proximal_TSS,,,,,1035,6,4,internal,Internal_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
105,MIDG2331_RS09755,rpmD,50S ribosomal protein L30,IntaRNA,38,0.0200502,0.967073,,-11.14,+,2062828,2063007,2062828,-75,-32,-75,-32,37,89,37,89,2062753,2062796,2062753,2062796,WT_plate_only,2062763,-65,65,,1038,32,20,internal,Internal_gene_with_local_TSS_candidate,upstream_of_translation_start,overlaps_local_internal_TSS,FALSE,binding_overlaps_local_internal_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
106,MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase,CopraRNA,2,5.84e-4,0.001471219,1.33747162641145e-5,-22.2264,-,2147059,2148540,2148540,-66,-44,-66,-44,73,95,73,95,2148606,2148584,2148584,2148606,Both_concordant,2148618,-78,78,78,1079,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
107,MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase,IntaRNA,1,1.5e-6,0.0031935,,-22.43,-,2147059,2148540,2148540,-66,-44,-66,-44,73,95,73,95,2148606,2148584,2148584,2148606,Both_concordant,2148618,-78,78,78,1079,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
108,MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase,TargetRNA2,1,0,,,-18.08,-,2147059,2148540,2148540,-61,-43,-61,-43,72,90,72,90,2148601,2148583,2148583,2148601,Both_concordant,2148618,-78,78,78,1079,1,1,single,Single_gene_with_local_TSS,upstream_of_translation_start,5UTR,FALSE,,TargetRNA2_GcvB_APP5.csv
109,MIDG2331_RS10235,dapD,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,CopraRNA,15,0.1851771,0.38110514,0.025984441,-9.63412,+,2154564,2155388,2154564,24,77,24,77,27,89,27,89,2154588,2154641,2154588,2154641,Both_concordant,2154520,-44,44,44,1084,3,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
110,MIDG2331_RS10295,dapE,succinyl-diaminopimelate desuccinylase,IntaRNA,4,5.825e-4,0.3100356,,-16.17,-,2164276,2165409,2165409,-2,17,-2,17,74,93,74,93,2165411,2165392,2165392,2165411,Both_concordant,2165777,-368,368,,1091,4,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
111,MIDG2331_RS10295,dapE,succinyl-diaminopimelate desuccinylase,TargetRNA2,6,0.001,,,-14.6,-,2164276,2165409,2165409,3,19,3,19,71,88,71,88,2165406,2165390,2165390,2165406,Both_concordant,2165777,-368,368,,1091,4,2,internal,Internal_gene_with_local_TSS_candidate,CDS,CDS,FALSE,,TargetRNA2_GcvB_APP5.csv
112,MIDG2331_RS10465,dnaK,molecular chaperone DnaK,IntaRNA,75,0.0423446,0.967073,,-9.91,-,2200001,2201899,2201899,54,63,54,63,172,181,172,181,2201845,2201836,2201836,2201845,Both_concordant,2201949,-50,50,50,1112,2,1,first,Operon_first_gene_with_local_TSS,CDS,CDS,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
113,MIDG2331_RS10510,panF,sodium/pantothenate symporter,IntaRNA,76,0.0433541,0.967073,,-9.87,-,2212806,2214230,2214230,-52,-33,-52,-33,153,179,153,179,2214282,2214263,2214263,2214282,No_proximal_TSS,,,,,1117,3,3,last,Last_gene_without_local_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
114,MIDG2331_RS10685,proA,glutamate-5-semialdehyde dehydrogenase,TargetRNA2,20,0.014,,,-10.9,-,2244507,2245745,2245745,-7,9,-7,9,83,98,83,98,2245752,2245736,2245736,2245752,Both_concordant,2245770,-25,25,25,1133,3,1,first,Operon_first_gene_with_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
115,MIDG2331_RS10890,fabG,3-oxoacyl-ACP reductase FabG,TargetRNA2,16,0.013,,,-11.07,-,2280849,2281574,2281574,-66,-54,-66,-54,71,83,71,83,2281640,2281628,2281628,2281640,Both_concordant,2281904,-330,330,,1158,2,2,last,Last_gene_with_local_TSS_candidate,upstream_of_translation_start,candidate_internal_5UTR,FALSE,internal_operon_gene_local_TSS,TargetRNA2_GcvB_APP5.csv
116,MIDG2331_RS10965,rimI,ribosomal protein S18-alanine N-acetyltransferase,CopraRNA,28,0.6343639,0.628428637,0.084644071,-6.64997,+,2294238,2294675,2294238,-19,25,-19,25,31,82,31,82,2294219,2294263,2294219,2294263,Both_concordant,2293801,-437,437,,1168,3,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
117,MIDG2331_RS11025,hisG,ATP phosphoribosyltransferase,TargetRNA2,32,0.034,,,-9.21,+,2308637,2309536,2308637,-25,-10,-25,-10,74,89,74,89,2308612,2308627,2308612,2308627,Both_discordant,,,,,1176,5,1,first,Operon_first_gene_without_representative_TSS,upstream_of_translation_start,upstream_unresolved,FALSE,upstream_binding_without_representative_TSS,TargetRNA2_GcvB_APP5.csv
118,MIDG2331_RS11030,hisD,histidinol dehydrogenase,CopraRNA,33,0.2649466,0.631579439,0.097278636,-8.85371,+,2309652,2310938,2309652,-4,7,-4,7,84,95,84,95,2309648,2309659,2309648,2309659,WT_plate_only,2309357,-295,295,,1176,5,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
119,MIDG2331_RS11030,hisD,histidinol dehydrogenase,TargetRNA2,13,0.01,,,-11.53,+,2309652,2310938,2309652,-9,9,-9,9,83,99,83,99,2309643,2309661,2309643,2309661,WT_plate_only,2309357,-295,295,,1176,5,2,internal,Internal_gene_with_local_TSS_candidate,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
120,MIDG2331_RS11045,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,IntaRNA,36,0.01895,0.967073,,-11.23,+,2312650,2313741,2312650,-6,8,-6,8,75,89,75,89,2312644,2312658,2312644,2312658,No_proximal_TSS,,,,,1176,5,5,last,Last_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,IntaRNA_GcvB_APP8_75-75nt_PV-005.csv
121,MIDG2331_RS11045,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,TargetRNA2,33,0.035,,,-9.13,+,2312650,2313741,2312650,-12,7,-12,7,77,96,77,96,2312638,2312657,2312638,2312657,No_proximal_TSS,,,,,1176,5,5,last,Last_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,TargetRNA2_GcvB_APP5.csv
122,MIDG2331_RS11065,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,CopraRNA,32,0.0868793,0.631579439,0.092057037,-11.2245,+,2316342,2317094,2316342,-4,22,-4,22,74,95,74,95,2316338,2316364,2316338,2316364,No_proximal_TSS,,,,,1179,4,2,internal,Internal_gene_without_local_TSS,overlaps_start_codon,overlaps_start_codon,FALSE,,CopraRNA_GcvB_APP8_EC_SM_PM.csv
