reference_locus,gene,annotation,strand,gene_start,gene_end,translation_start,TSS_support,WT_plate_TSS,WT_broth_TSS,TSS_difference,representative_TSS,representative_TSS_rel_start,local_UTR5_length,operon_aware_UTR5_length,multiple_proximal_TSS,operon_id,operon_size,operon_position,operon_role,operon_status,operon_start_compatible,operon_left,operon_right,operon_first_orf,operon_last_orf,operon_members_ordered,transcript_context_class,UTR_interpretation,transcript_review_flag,n_method_level_interactions,n_prediction_methods,any_5UTR_binding,any_candidate_internal_5UTR_binding,any_start_codon_overlap,any_CDS_binding,any_binding_upstream_of_TSS
MIDG2331_RS08050,serA,phosphoglycerate dehydrogenase,+,1739359,1740588,1739359,Both_concordant,1739335,1739335,0,1739335,-24,24,,FALSE,876,4,4,last,Last gene in polycistronic operon,FALSE,1735477,1740588,ilvA,serA,ilvA;glmM;rpiA;serA,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS08140,thrC,threonine synthase,+,1757860,1759140,1757860,Both_concordant,1757821,1757823,2,1757821,-39,39,39,FALSE,893,1,1,single,Single-gene operon,TRUE,1757860,1759140,thrC,thrC,thrC,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,2,2,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS08210,cysE,serine O-acetyltransferase,+,1771248,1772063,1771248,No_proximal_TSS,,,,,,,,FALSE,899,4,4,last,Last gene in polycistronic operon,FALSE,1769067,1772063,cds-WP_039709305.1,cysE,cds-WP_039709305.1;secB;gpsA;cysE,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS08255,ccmI,c-type cytochrome biogenesis protein CcmI,+,1776295,1777209,1776295,No_proximal_TSS,,,,,,,,FALSE,903,3,3,last,Last gene in polycistronic operon,FALSE,1775281,1777209,cds-WP_005598787.1,ccmI,cds-WP_005598787.1;cds-WP_005605432.1;ccmI,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS08325,epmA,elongation factor P--(R)-beta-lysine ligase,+,1788704,1789687,1788704,WT_broth_only,,1788679,,1788679,-25,25,25,FALSE,911,1,1,single,Single-gene operon,TRUE,1788704,1789687,epmA,epmA,epmA,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS08490,wecC,UDP-N-acetyl-D-mannosamine dehydrogenase,-,1817332,1818603,1818603,No_proximal_TSS,,,,,,,,FALSE,924,7,4,internal,Internal gene in polycistronic operon,FALSE,1814319,1821788,wecA,wzxE,wecA;cds-WP_039709315.1;wecB;wecC;rffC;rffA;wzxE,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS08585,exbD1,ExbD/TolR family protein,-,1841551,1841961,1841961,No_proximal_TSS,,,,,,,,FALSE,933,5,3,internal,Internal gene in polycistronic operon,FALSE,1837169,1843400,cds-WP_039709323.1,cds-WP_039709320.1,cds-WP_039709323.1;cds-WP_005602270.1;cds-WP_039709322.1;cds-WP_039709321.1;cds-WP_039709320.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS08685,modF,molybdate ABC transporter ATP-binding protein ModF,-,1862475,1863932,1863932,No_proximal_TSS,,,,,,,,FALSE,942,1,1,single,Single-gene operon,TRUE,1862475,1863932,modF,modF,modF,Single_gene_without_representative_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS08720,lipA,lipoyl synthase,-,1869591,1870583,1870583,Both_concordant,1870711,1870711,0,1870711,-128,128,,FALSE,948,5,5,last,Last gene in polycistronic operon,FALSE,1869591,1873653,cds-WP_005619626.1,lipA,cds-WP_005619626.1;cds-WP_005602317.1;ybeD;lipB;lipA,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS08750,mrdA,penicillin-binding protein 2,-,1874945,1876906,1876906,No_proximal_TSS,,,,,,,,FALSE,949,4,3,internal,Internal gene in polycistronic operon,FALSE,1873828,1877792,rsfS,rodA,rsfS;rlmH;mrdA;rodA,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS08845,ureA,urease subunit gamma,-,1892463,1892765,1892765,No_proximal_TSS,,,,,,,,FALSE,959,8,6,internal,Internal gene in polycistronic operon,FALSE,1890236,1896074,cds-WP_005599015.1,ureC,cds-WP_005599015.1;cbiM;cds-WP_005605608.1;cds-WP_005618092.1;cds-WP_039709345.1;ureA;ureB;ureC,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS08855,cbiO,energy-coupling factor ABC transporter ATP-binding protein,-,1893776,1894405,1894405,Both_concordant,1894602,1894602,0,1894602,-197,197,,TRUE,959,8,4,internal,Internal gene in polycistronic operon,FALSE,1890236,1896074,cds-WP_005599015.1,ureC,cds-WP_005599015.1;cbiM;cds-WP_005605608.1;cds-WP_005618092.1;cds-WP_039709345.1;ureA;ureB;ureC,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS08910,glmS,glutamine--fructose-6-phosphate transaminase (isomerizing),-,1904568,1906400,1906400,WT_plate_only,1906666,,,1906666,-266,266,,FALSE,964,2,2,last,Last gene in polycistronic operon,FALSE,1904568,1907282,cds-WP_012263324.1,glmS,cds-WP_012263324.1;glmS,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS09100,gntR,gluconate operon transcriptional repressor GntR,-,1940416,1941414,1941414,WT_broth_only,,1941455,,1941455,-41,41,41,TRUE,980,1,1,single,Single-gene operon,TRUE,1940416,1941414,gntR,gntR,gntR,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS09150,dmsD,Tat proofreading chaperone DmsD,+,1951622,1952227,1951622,No_proximal_TSS,,,,,,,,FALSE,982,5,4,internal,Internal gene in polycistronic operon,FALSE,1947687,1952749,cds-WP_039709363.1,napF_2,cds-WP_039709363.1;cds-WP_005602440.1;cds-WP_039709364.1;dmsD;napF_2,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS09295,fkpA2,FKBP-type peptidyl-prolyl cis-trans isomerase,-,1983725,1984354,1984354,Both_concordant,1984384,1984384,0,1984384,-30,30,30,FALSE,994,1,1,single,Single-gene operon,TRUE,1983725,1984354,cds-WP_005613287.1,cds-WP_005613287.1,cds-WP_005613287.1,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS09355,secE,preprotein translocase subunit SecE,+,1994932,1995345,1994932,Both_discordant,1994886,1994898,12,,,,,TRUE,1004,6,1,first,First gene in polycistronic operon,TRUE,1994932,1998529,secE,rplL,secE;nusG;rplK;rplA;rplJ;rplL,Operon_first_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS09475,sfsA,DNA/RNA nuclease SfsA,-,2020593,2021306,2021306,Both_concordant,2021573,2021573,0,2021573,-267,267,267,FALSE,1019,1,1,single,Single-gene operon,TRUE,2020593,2021306,sfsA,sfsA,sfsA,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS09635,nanA,N-acetylneuraminate lyase,+,2048495,2049373,2048495,No_proximal_TSS,,,,,,,,FALSE,1035,6,4,internal,Internal gene in polycistronic operon,FALSE,2046272,2051423,cds-WP_005609191.1,nagA,cds-WP_005609191.1;cds-WP_005599263.1;cds-WP_005599264.1;nanA;nagB;nagA,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS09755,rpmD,50S ribosomal protein L30,+,2062828,2063007,2062828,WT_plate_only,2062763,,,2062763,-65,65,,TRUE,1038,32,20,internal,Internal gene in polycistronic operon,FALSE,2054186,2070174,rpsJ,rplS,rpsJ;rplC;rplD;rplW;rplB;rpsS;rplV;rpsC;rplP;rpmC;rpsQ;rplN;rplX;rplE;rpsN;rpsH;rplF;rplR;rpsE;rpmD;rplO;secY;rpmJ;rpsM;rpsK;rpsD;cds-WP_005619415.1;rplQ;rpsP;rimM;trmD;rplS,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS10200,ilvC,ketol-acid reductoisomerase,-,2147059,2148540,2148540,Both_concordant,2148618,2148618,0,2148618,-78,78,78,TRUE,1079,1,1,single,Single-gene operon,TRUE,2147059,2148540,ilvC,ilvC,ilvC,Single_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,3,3,TRUE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS10235,dapD,2 3 4 5-tetrahydropyridine-2 6-dicarboxylate N-succinyltransferase,+,2154564,2155388,2154564,Both_concordant,2154520,2154520,0,2154520,-44,44,44,TRUE,1084,3,1,first,First gene in polycistronic operon,TRUE,2154564,2156698,dapD,cds-WP_005609325.1,dapD;aroQ;cds-WP_005609325.1,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS10295,dapE,succinyl-diaminopimelate desuccinylase,-,2164276,2165409,2165409,Both_concordant,2165777,2165777,0,2165777,-368,368,,TRUE,1091,4,2,internal,Internal gene in polycistronic operon,FALSE,2162816,2165782,cds-WP_005619049.1,cds-WP_005602753.1,cds-WP_005619049.1;dapE;cds-WP_005605936.1;cds-WP_005602753.1,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,2,2,FALSE,FALSE,TRUE,TRUE,FALSE
MIDG2331_RS10465,dnaK,molecular chaperone DnaK,-,2200001,2201899,2201899,Both_concordant,2201949,2201949,0,2201949,-50,50,50,TRUE,1112,2,1,first,First gene in polycistronic operon,TRUE,2198629,2201899,dnaK,dnaJ,dnaK;dnaJ,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,multiple_proximal_TSS,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
MIDG2331_RS10510,panF,sodium/pantothenate symporter,-,2212806,2214230,2214230,No_proximal_TSS,,,,,,,,FALSE,1117,3,3,last,Last gene in polycistronic operon,FALSE,2212806,2214833,metJ,panF,metJ;cds-WP_039197920.1;panF,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS10685,proA,glutamate-5-semialdehyde dehydrogenase,-,2244507,2245745,2245745,Both_concordant,2245770,2245770,0,2245770,-25,25,25,FALSE,1133,3,1,first,First gene in polycistronic operon,TRUE,2243228,2245745,proA,dtd,proA;cds-WP_026042279.1;dtd,Operon_first_gene_with_local_TSS,Defined_from_operon_compatible_local_TSS,,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS10890,fabG,3-oxoacyl-ACP reductase FabG,-,2280849,2281574,2281574,Both_concordant,2281904,2281904,0,2281904,-330,330,,TRUE,1158,2,2,last,Last gene in polycistronic operon,FALSE,2280849,2282627,fabD,fabG,fabD;fabG,Last_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,multiple_TSS_internal_operon_gene,1,1,FALSE,TRUE,FALSE,FALSE,FALSE
MIDG2331_RS10965,rimI,ribosomal protein S18-alanine N-acetyltransferase,+,2294238,2294675,2294238,Both_concordant,2293801,2293801,0,2293801,-437,437,,FALSE,1168,3,2,internal,Internal gene in polycistronic operon,FALSE,2293823,2296035,cds-WP_005606599.1,srmB,cds-WP_005606599.1;rimI;srmB,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS11025,hisG,ATP phosphoribosyltransferase,+,2308637,2309536,2308637,Both_discordant,2308443,2308407,36,,,,,TRUE,1176,5,1,first,First gene in polycistronic operon,TRUE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,Operon_first_gene_without_representative_TSS,Unresolved_discordant_TSS_calls,discordant_plate_broth_TSS,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
MIDG2331_RS11030,hisD,histidinol dehydrogenase,+,2309652,2310938,2309652,WT_plate_only,2309357,,,2309357,-295,295,,FALSE,1176,5,2,internal,Internal gene in polycistronic operon,FALSE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,Internal_gene_with_local_TSS_candidate,Candidate_internal_transcript_5UTR,possible_internal_promoter,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS11045,hisB,bifunctional histidinol-phosphatase/imidazoleglycerol-phosphate dehydratase HisB,+,2312650,2313741,2312650,No_proximal_TSS,,,,,,,,FALSE,1176,5,5,last,Last gene in polycistronic operon,FALSE,2308637,2313741,hisG,hisB,hisG;hisD;hisC_2;cds-MIDG2331_RS11040;hisB,Last_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,2,2,FALSE,FALSE,TRUE,FALSE,FALSE
MIDG2331_RS11065,hisA,1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase,+,2316342,2317094,2316342,No_proximal_TSS,,,,,,,,FALSE,1179,4,2,internal,Internal gene in polycistronic operon,FALSE,2315631,2318441,hisH,cds-WP_039709460.1,hisH;hisA;hisF;cds-WP_039709460.1,Internal_gene_without_local_TSS,No_proximal_TSS_detected,no_proximal_TSS,1,1,FALSE,FALSE,TRUE,FALSE,FALSE
